Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2011/12/21,03:12:10,Halo,360,1064,4.0e+15*
2012/01/02,15:12:40,Halo,360,1138,8.4e+15*
2012/01/12,08:24:05,Halo,360,814,1.0e+16*
2012/01/16,03:12:10,Halo,360,1060,1.0e+16*
2012/01/19,14:36:05,Halo,360,1120,1.9e+16*
2012/01/23,04:00:05,Halo,360,2175,2.6e+16*
2012/01/26,04:36:05,Halo,360,1194,1.4e+16*
2012/01/27,18:27:52,Halo,360,2508,3.7e+16*
2012/02/02,14:24:05,Halo,360,476,7.1e+15*
2012/02/09,21:17:36,Halo,360,659,7.5e+15*
2012/02/10,20:00:05,Halo,360,533,7.4e+15*
2012/02/16,06:36:05,Halo,360,538,4.0e+15*
2012/02/23,08:12:06,Halo,360,505,9.9e+15*
2012/02/29,09:12:08,Halo,360,466,5.8e+15*
2012/03/04,11:00:07,Halo,360,1306,7.9e+15*
2012/03/05,04:00:05,Halo,360,1531,1.4e+16*
2012/03/07,00:24:06,Halo,360,2684,1.4e+16*
2012/03/07,01:30:24,Halo,360,1825,7.4e+15*
2012/03/10,18:00:05,Halo,360,1296,1.3e+16*
2012/03/13,17:36:05,Halo,360,1884,2.3e+16*
2012/03/18,00:24:05,Halo,360,1210,1.1e+16*
2012/03/21,07:36:05,Halo,360,1178,1.1e+16*
2012/03/24,00:24:05,Halo,360,1152,1.4e+16*
2012/03/26,23:12:05,Halo,360,1390,1.8e+16*
2012/03/28,01:36:07,Halo,360,1033,7.0e+15*
2012/04/05,21:25:07,Halo,360,828,8.5e+15*
2012/04/07,16:48:05,Halo,360,765,3.4e+15*
2012/04/07,21:15:59,Halo,360,708,4.5e+15*
2012/04/09,12:36:07,Halo,360,921,7.5e+15*
2012/04/27,16:24:06,Halo,360,681,8.1e+15*
2012/05/12,00:00:05,Halo,360,805,4.6e+15*
2012/05/17,01:48:05,Halo,360,1582,3.6e+16*
2012/05/26,20:57:28,Halo,360,1966,2.5e+15*
2012/06/14,14:12:07,Halo,360,987,1.2e+16*
2012/06/23,07:24:05,Halo,360,1263,1.0e+16*
2012/06/28,06:24:05,Halo,360,728,1.8e+15*
2012/07/02,08:36:04,Halo,360,1074,6.0e+15*
2012/07/06,23:24:06,Halo,360,1828,8.4e+15*
2012/07/08,14:36:05,Halo,360,796,1.4e+15*
2012/07/11,01:25:27,Halo,360,379,3.6e+15*
2012/07/12,16:48:05,Halo,360,885,6.9e+15*
2012/07/18,06:24:05,Halo,360,873,7.9e+15*
2012/07/19,05:24:05,Halo,360,1631,2.1e+16*
2012/07/23,02:36:05,Halo,360,2003,2.3e+16*
2012/07/28,21:12:08,Halo,360,420,9.3e+15*
2012/07/31,11:24:06,Halo,360,567,1.1e+16*
2012/08/04,13:36:23,Halo,360,856,1.3e+16*
2012/08/14,01:25:49,Halo,360,634,1.8e+15*
2012/08/19,18:36:05,Halo,360,612,3.4e+15*
2012/08/20,21:28:11,Halo,360,521,7.5e+15*
2012/08/21,14:12:06,Halo,360,575,1.4e+15*
2012/08/21,20:24:05,Halo,360,1024,1.8e+15*
2012/08/25,16:36:05,Halo,360,636,3.0e+15*
2012/08/31,20:00:05,Halo,360,1442,2.0e+16*
2012/09/08,10:00:06,Halo,360,734,1.2e+16*
2012/09/19,13:25:47,Halo,360,525,1.1e+16*
2012/09/20,05:48:06,Halo,360,633,1.4e+15*
2012/09/20,15:12:10,Halo,360,1202,7.0e+15*
